Hour,Is_Weekend,Temperature,Visibility,High_Risk,Latitude,Longitude
5,1,75,3,1,21.487680252683006,81.93168205207589
20,0,75,10,1,15.369528929043337,75.5413980556095
0,1,75,3,1,30.21479430809419,78.83993770028195
22,0,75,3,1,28.171481869493046,94.51672389509574
0,0,75,3,1,22.73000463504131,87.88019693867956
7,0,75,3,1,21.168576165793933,81.9111093517268
8,1,75,10,1,28.888113195576434,76.42739889586404
7,0,75,10,0,15.756980066394817,79.44943426689869
6,1,75,10,1,26.06586414015146,92.48458444888392
10,1,75,3,0,30.845647502992435,76.99059504717741
21,0,75,10,1,20.855444859280304,84.93557996521422
10,1,75,3,1,18.481341935277584,79.0227160215801
20,0,75,3,1,30.119503405669416,78.54336964219017
15,1,75,10,1,15.030851299768186,73.87122546963434
17,0,75,3,1,30.801005916746046,76.91116205853675
5,1,75,3,1,25.995323751490556,92.27306741336045
0,0,75,10,1,20.947765832154847,85.14506097835398
16,0,75,10,1,23.22576607957764,92.49604935042882
13,0,75,3,1,21.852928940843615,70.9390857318577
2,0,75,10,1,25.87894853806052,91.81028222612402
5,0,75,3,0,15.121730654928468,75.46039653978161
16,1,75,10,0,30.1581663170017,78.7825499109164
4,0,75,3,1,28.75662985209068,77.1447006743818
0,0,75,10,1,23.44267571607543,85.28986764558574
19,1,75,10,0,26.65923825577854,92.95046852801246
9,1,75,10,1,33.52760966211019,77.01249923619488
15,0,75,3,1,31.157397494178312,75.3107640847512
17,0,75,3,1,33.416580833913166,76.73142456442594
9,0,75,3,0,21.97650390827068,70.829738093986
16,0,75,10,0,19.75067709427651,75.75154647870595
8,1,75,10,0,24.368065974770097,93.41102693776375
12,0,75,10,1,20.110647310475553,76.11207011515206
17,0,75,3,0,31.205977722893785,77.0320859651482
2,1,75,10,0,23.3049835392765,78.38021401724116
3,0,75,10,1,25.128281625324426,85.12203891785884
2,1,75,3,1,23.55109736983023,92.21468832337958
11,0,75,10,1,23.031259548376774,78.64497138335568
23,0,75,3,0,23.44605391199701,85.44245240291941
12,1,75,3,0,26.730452799996126,92.84298929491338
14,1,75,3,1,30.978074622079518,75.64567021478831
9,0,75,3,1,26.07592593622882,94.78097592059588
1,1,75,10,0,26.771142817324506,81.25461645751655
12,1,75,3,1,22.140232090245128,71.06797475852281
16,0,75,3,1,23.751730056376807,92.15030151908412
12,1,75,3,0,26.360515888536415,92.36062235637829
12,0,75,3,1,15.768155687160146,75.66910443929258
13,1,75,3,0,18.595732086396293,78.58806841986193
10,1,75,10,1,24.309974430665292,91.56301259438438
6,1,75,3,1,15.49524206127296,80.04863584279852
5,0,75,10,0,10.950852903614845,76.6929135615646
7,1,75,10,1,33.30106022703709,76.64683322804497
15,1,75,3,1,15.22676351096771,74.01577240036153
10,0,75,3,1,22.637869376652414,70.98081677854307
5,0,75,3,1,29.95238840571809,79.26599393009599
20,0,75,10,1,25.211734139170446,91.69701252203376
11,1,75,3,0,24.784568242402536,93.81042207737958
18,0,75,10,1,21.328371789228832,81.67971096845456
22,0,75,3,1,15.797983570578658,75.74994448108484
3,0,75,3,1,24.270628263560727,93.53461529986187
8,0,75,10,0,24.09819614039922,84.78358335791934
3,0,75,3,1,22.683897150615834,92.85698682595553
18,0,75,3,1,30.815379641234095,76.51633667250104
2,0,75,10,0,30.672350882064638,75.79554885801805
13,0,75,10,1,23.51807029203922,91.87831594836626
3,0,75,3,0,17.64386238868809,79.0712097602475
17,1,75,3,1,15.437242740793954,75.90206036596224
21,0,75,3,1,22.63685332316473,78.44413803976254
17,1,75,3,0,30.57932629412744,77.09223111799818
22,0,75,10,0,10.786558244032985,79.06561974538144
16,0,75,3,1,29.066436736516547,77.2459953431709
10,0,75,10,1,21.748906982338077,81.51208886060127
4,0,75,10,1,11.644486565352468,80.30024217657481
20,1,75,3,1,22.68186610703769,88.2938633374283
21,0,75,3,1,11.324166823748891,78.3313626822608
22,0,75,3,0,31.49133394614279,75.3979003974797
6,0,75,3,1,15.160799188977837,75.84834581602087
20,1,75,3,1,26.007110364511128,94.48339417118706
20,0,75,10,1,20.200614318543195,76.00707279953153
4,0,75,10,1,25.48393089333976,91.72402944077186
23,1,75,3,1,15.028431281344641,75.44367832639963
6,1,75,3,0,29.274610365434626,75.63298158250755
22,0,75,10,0,11.309970471702279,78.5009697057006
22,0,75,3,1,27.591184961226375,88.08455512099775
6,0,75,3,1,25.59326757811092,85.5861350710477
8,0,75,3,1,21.184943764224986,85.55324110792876
20,0,75,10,1,18.588034547004668,78.69271134201196
7,0,75,10,0,15.700688642094125,80.09304701089616
0,0,75,3,0,21.380880408413304,81.64067841599845
10,0,75,3,1,23.236392136736114,78.30122990060309
23,1,75,3,1,26.257765156229674,92.86820432741385
8,0,75,3,0,25.86080606922747,94.74599144935712
2,0,75,3,1,15.045904140259566,76.09781063054541
23,0,75,10,0,30.973233642659878,77.01267166960724
4,1,75,10,1,28.23959501075716,95.06692628263684
12,0,75,10,0,12.172540298081762,80.02230487943946
6,1,75,3,1,22.437517728389622,70.945045117293
14,1,75,10,1,11.477656501493215,78.16725662364662
7,1,75,3,0,26.161446534953814,92.22149908003928
2,1,75,10,1,23.84908811135807,85.29814162914899
14,1,75,10,1,25.912981982176866,90.96964856817524
20,0,75,3,0,24.758747066075724,85.16126965018312
21,0,75,10,1,24.96037841684064,93.90354473489845
19,0,75,10,1,30.27907915709192,78.72317913472216
20,1,75,10,1,28.64020570377473,77.18201127160519
6,1,75,3,1,25.569124568162092,85.12774088008604
7,0,75,3,0,24.02736299080692,91.79013308966056
2,0,75,3,1,29.512933749400236,76.48817362251445
20,0,75,10,0,18.226952590052022,79.39215884045218
14,1,75,3,1,27.007242686740184,73.83803152398201
15,0,75,10,0,12.290501235273727,80.04515554583689
12,1,75,10,1,12.210900014701188,79.96134584592663
12,1,75,10,0,22.671421352141856,78.2403364032159
15,0,75,3,0,26.39051113509188,80.87931419846446
20,1,75,10,1,26.196741987316457,92.56855775569375
17,0,75,10,1,31.14399708735268,76.51656084516495
5,0,75,10,0,31.484736749719062,77.42518616391628
4,1,75,10,1,27.162492706140707,88.72640890394113
2,0,75,10,1,20.64439219573101,85.34395111985289
4,1,75,3,1,11.616948285214246,79.00357353652431
19,0,75,3,1,15.4373619860718,75.46908538573929
17,1,75,3,0,29.05495279824728,76.95316181205372
23,1,75,3,0,23.386157097985187,78.41877398502591
20,0,75,3,0,11.533133719345926,79.7832319699808
13,1,75,3,1,11.220331375287131,76.61405606743718
3,1,75,3,1,26.148753035815066,92.07715169698295
9,0,75,3,0,28.583067283720453,76.71000604545566
20,0,75,10,1,29.461241599013164,76.10768034232125
10,1,75,10,0,31.632190508001827,74.85845286743073
23,1,75,3,1,25.758337520981282,92.57607440599969
6,0,75,3,1,20.709949476560784,84.90795371788238
17,0,75,10,1,21.35022566691715,81.56087276055781
5,1,75,3,1,27.068589887804162,88.95801516758787
5,0,75,3,0,22.955312361107026,93.38213974009066
3,0,75,3,1,22.982000348465913,87.65515303943191
5,1,75,3,0,24.709007792505247,85.2597446193094
0,0,75,10,1,23.618008092090115,92.29200935216477
3,1,75,10,0,22.73221381642957,87.9173091673377
22,0,75,10,0,26.687691611004183,74.6053520366262
20,0,75,3,1,23.512594073818395,91.83642476809675
20,1,75,3,1,25.529248636953128,85.34480875031092
12,0,75,10,1,26.710771529042812,73.87911552391797
7,0,75,3,1,23.233443447567435,85.31427694292252
22,0,75,10,1,28.177713462535323,77.34270907858085
0,0,75,10,0,31.640746527278676,75.46791002185951
4,1,75,3,0,27.05084613444931,88.68576433286235
12,0,75,3,0,10.71568203648498,78.73312192636168
13,0,75,10,1,29.805558451098126,79.34893187577602
3,0,75,3,0,30.74358192867504,77.42564772510248
15,0,75,10,1,22.31384854744403,70.81589785569348
19,0,75,3,1,27.296652567622466,81.25490389464035
14,1,75,10,1,22.636148619779224,78.66517439370669
12,0,75,10,1,14.874224131226004,76.02166771166948
2,0,75,10,0,25.062378829091166,93.78102567832916
8,0,75,10,1,23.106216782582585,78.94057594711464
13,1,75,3,0,30.439280979225845,79.42689655938189
11,0,75,3,0,33.385747001021194,76.26164396784336
21,0,75,10,1,14.990324247510525,74.3159735780443
0,0,75,3,1,29.720168861099985,79.02844695657231
4,0,75,3,0,21.337404327123306,82.10346386862355
13,0,75,3,0,19.274599685301197,75.9243154442169
1,0,75,10,1,19.948058237333843,75.36062625851692
0,1,75,10,1,24.706349232831606,93.96192218813687
5,0,75,3,0,31.24988308382237,77.21656345896366
20,0,75,3,1,28.92600878527638,77.58470601001132
14,0,75,3,0,26.220740821645457,94.77136893240463
21,0,75,10,1,15.105744597589691,75.76845037385421
17,0,75,10,1,24.305102614960397,93.56804230576769
22,1,75,10,1,25.22238427179587,91.47998260025108
9,0,75,10,0,18.55423937311797,78.87679369694604
13,0,75,3,0,28.256207202800276,94.92346980746845
16,0,75,10,0,15.297763688165741,73.72109059592867
19,1,75,10,1,31.22692727218276,74.86408793035046
16,0,75,3,0,25.261598615660887,85.00072651706091
11,0,75,3,0,14.802267646151073,73.92013762193305
13,0,75,3,0,29.514402418361506,76.06407865566024
17,1,75,3,0,22.07477688877507,71.57594749913952
22,0,75,3,1,25.688000936478588,94.98843025598548
0,0,75,3,1,25.109667751982002,93.46175939493104
17,0,75,10,1,10.488390292266041,76.5193119223206
14,0,75,3,1,15.470753364054136,74.09595566544691
13,0,75,10,1,27.960410904157573,88.28456162047739
21,0,75,10,1,12.37067982545614,79.95115869240897
11,0,75,3,1,27.861581372330757,94.51993460160051
21,0,75,10,1,27.220960401700186,80.51800673672803
4,0,75,3,1,15.286733095019457,74.61664161985799
9,0,75,3,1,23.882514925730106,85.35770171513293
13,0,75,10,1,22.996667328813743,87.83432912765954
16,0,75,3,1,20.98988917210236,84.97707446547479
8,0,75,3,1,30.769593551925738,75.07255624057778
8,0,75,10,1,23.438803039079286,85.7704759643925
8,0,75,3,0,25.386005079136012,84.975533435755
7,0,75,3,1,25.983522440437625,94.7939382035439
22,0,75,10,0,23.59027611985321,85.69774599463757
0,0,75,3,1,10.98791300166393,76.23101307867995
0,0,75,3,0,27.798333144806673,88.63624410006963
16,0,75,10,1,17.92388633510374,78.54488248030167
6,0,75,10,0,15.406722978577509,74.14462480752498
17,0,75,10,1,15.605592497038772,75.58693081099582
17,0,75,3,1,23.40190215333914,87.56560855239262
23,1,75,10,1,15.511013508431446,75.80432734307917
2,1,75,10,1,33.797702100710445,76.51352160484348
14,0,75,10,1,30.56663004430472,76.50117991145979
20,1,75,10,0,23.296246098526616,78.24022734160474
9,0,75,10,0,21.19909101918932,84.88283772173374
10,0,75,10,0,27.020900070337568,74.36519084833931
6,0,75,10,1,30.04454853248589,78.61838023592897
23,0,75,10,1,29.642806556134598,79.03720776576458
19,0,75,10,1,11.037683350730463,76.19684635220786
20,0,75,10,1,23.09719730243629,78.50609684660841
3,0,75,10,1,25.71793795143997,91.31336082974582
1,0,75,3,1,30.734144568610443,76.9693358554332
20,0,75,10,1,15.114063730233948,76.18311727671988
12,0,75,3,1,15.413078845627167,74.61882753227779
18,0,75,10,0,10.914658363887453,78.89101028073519
8,0,75,3,1,18.55201100174903,79.43248115183106
6,0,75,3,0,23.539012865001183,91.50809148766061
8,0,75,3,1,22.56981920277122,87.42002982538669
4,1,75,3,1,24.97331107246838,91.22358118326783
22,0,75,10,1,17.813420273437373,79.07377864311576
6,1,75,3,1,23.215124333497418,87.94141110912899
17,1,75,10,1,23.340971624879966,78.33843161997586
21,0,75,3,1,27.143102455398182,88.07046561977124
14,0,75,3,0,14.977177451565247,74.20899542054211
23,0,75,10,1,30.87052787505863,76.91864144959631
12,0,75,3,1,23.923211658297962,85.40392289117267
6,1,75,3,1,30.09430247838812,78.9348439625228
8,0,75,10,1,10.97430777806687,78.45222954442913
0,0,75,10,0,19.55707697787477,75.89305648595048
13,0,75,3,1,19.34796001335876,75.30398050934899
9,0,75,10,1,16.34016958350025,79.86335444779219
4,1,75,3,0,28.60328070268637,77.28029402487944
4,0,75,10,0,22.00958179545855,70.76385504084685
21,1,75,3,1,15.516526541522191,79.67106425731488
0,0,75,3,0,26.706601599504197,73.80942037197649
0,0,75,3,1,25.857991742937124,93.02133327860683
13,0,75,3,1,15.683278914671792,79.73236468739434
14,0,75,10,1,29.100730294050113,76.32280602295663
8,0,75,3,1,14.891187753081015,74.40779391506219
3,1,75,10,1,28.456464592793193,94.57056595285113
14,1,75,3,0,25.835812901918928,94.31740323731206
13,0,75,10,0,23.065782927329295,87.80868119754487
15,0,75,10,1,20.940250200337463,85.16112324252053
0,1,75,10,1,22.644077406022646,88.25180999824015
14,1,75,3,1,33.499420912275106,76.40672712902762
6,1,75,3,1,21.02370817684939,81.56190115742432
7,1,75,10,0,30.8168506390745,75.45986497179688
2,0,75,10,0,24.859415071554604,94.11943147948656
18,0,75,3,1,22.694234432443004,88.02421131108862
13,0,75,3,1,24.373589055303558,93.51903401081297
15,1,75,3,1,30.734709909651826,77.0050657569791
17,1,75,3,0,29.04558603627246,77.46632286242436
9,0,75,3,0,25.851905012558987,94.66683866170496
0,0,75,10,0,31.120191261746424,75.56239838018902
17,0,75,10,1,31.34017927856737,77.0025400562072
0,0,75,3,0,29.200588138244413,76.44877908520368
12,0,75,3,0,27.035853332894057,88.36864307494623
15,0,75,10,1,22.85417874783569,92.95651394247685
10,1,75,3,1,27.785626260072323,88.56475769804578
8,0,75,3,1,27.417165072290278,88.71342604204777
8,0,75,10,1,17.907786912166177,79.27453783712613
17,0,75,3,1,25.454273429004473,91.02471747854976
19,0,75,10,1,21.621390705930995,81.79927064846088
2,0,75,10,0,22.083395730880724,71.1137614944886
14,0,75,3,1,23.453307902878212,85.43849919763949
8,1,75,3,0,20.806459630545532,81.56471017586706
21,1,75,3,1,25.67548468595859,94.28285791612201
23,1,75,10,1,25.794041065068985,92.93423265047275
12,0,75,3,1,23.512261958202373,91.69542262584267
14,0,75,3,1,25.519645670548194,85.79569593702662
14,0,75,10,1,15.187679696135406,74.2666359577578
0,0,75,10,1,26.28811410876488,92.62087201790821
9,0,75,3,1,22.929897442193866,93.37618144610285
13,1,75,10,1,25.94882834246347,94.78854652419945
11,1,75,10,1,22.896429179552523,87.87750397602777
14,1,75,3,1,24.675575233670884,93.47787853727233
1,1,75,10,0,15.08850162344564,74.43117881544114
15,1,75,10,1,19.27994173803786,75.51594340139344
4,0,75,10,1,15.676516727779353,74.25122505217172
18,0,75,3,1,23.557370352099042,93.30916780019174
21,1,75,3,1,27.535326082327636,88.96339233114037
20,1,75,10,0,28.738922044862306,75.71123178978111
5,0,75,3,1,24.14909941694343,92.46929837939597
8,0,75,10,1,25.944085583110198,92.05900196651665
5,0,75,3,1,20.185978660573195,75.8343577213185
23,0,75,3,1,24.4404680327289,94.20381646751476
13,0,75,3,1,22.6635364409735,78.16151718170093
14,0,75,3,1,25.164192618110643,85.60519959854084
8,1,75,3,1,10.63051693961372,76.16935223269633
20,0,75,3,0,30.728928131122313,76.53532137335674
14,1,75,3,1,15.181827887798436,75.87752084340785
13,0,75,10,1,15.162577219470286,75.63161203453168
21,0,75,3,1,11.603244116588698,79.31494591942784
12,1,75,3,1,20.162389074506187,75.96080772938032
3,1,75,10,1,14.968369334476646,73.93005648684961
7,1,75,10,1,26.65843606666853,92.74010504984577
16,0,75,10,1,30.93292177635507,76.42218802807682
0,1,75,3,0,25.095126637029683,91.57798851857376
13,1,75,10,1,20.922652625038218,84.68193312034826
19,0,75,3,1,26.34416075853681,94.82644703624554
14,0,75,10,0,21.282572891664866,85.57466423720473
14,0,75,3,0,11.229320053755526,78.7737238247746
17,0,75,3,1,14.816347286303362,74.40618305702297
22,0,75,3,1,24.316733813467504,93.68705017210131
20,1,75,10,1,28.60311126198291,77.29857707802545
1,0,75,3,1,27.867966759286443,88.58764732358526
11,1,75,10,0,15.062294882699925,75.22003364042793
2,0,75,3,1,19.318398775783933,75.81213086230666
0,0,75,10,0,28.25330179676594,77.2676375151728
23,0,75,3,0,29.06968550822515,76.52568983769483
5,0,75,3,1,26.637555789400388,92.70825455625875
14,1,75,3,0,23.218104238615012,85.34683863374207
13,0,75,3,1,25.97505492609546,94.83207313094746
3,0,75,3,0,28.88250453144772,77.07536957091068
2,0,75,10,1,19.407455803531594,75.52435949539448
6,0,75,3,1,30.76385065683535,77.50265297483847
17,0,75,10,1,22.585818155527903,70.90231911498852
15,1,75,10,0,10.989548525169283,78.71329213250479
20,1,75,10,1,26.681877915445533,92.47888888235377
12,0,75,3,1,11.092760798866959,76.51254656903639
14,1,75,3,1,26.712135943141927,73.84149866017393
18,0,75,3,0,15.660908809926068,80.14719838014945
13,0,75,3,1,29.03672740722181,77.38781838114221
10,1,75,3,0,11.910477132182754,80.02728022106372
2,0,75,3,1,22.044371893083852,70.9923814406483
10,0,75,3,0,30.272641211024116,79.06377831643181
11,0,75,3,1,21.153238340685714,85.12034755861926
23,0,75,3,1,28.14655959479835,76.86303739313736
10,0,75,3,0,27.969524359407373,94.65896977167367
20,0,75,3,1,26.995949958390568,80.52382876600642
12,0,75,3,1,21.381918779110336,81.6213223827721
22,0,75,3,1,26.3094923283713,93.00203532330629
22,0,75,3,1,25.138945100131203,93.5498129604221
9,1,75,3,0,10.746281798237446,75.91733257262636
15,1,75,10,0,16.10119910477511,80.13096846960269
1,1,75,10,0,15.31437176441004,73.78678039385375
15,0,75,10,1,28.773823024066427,76.72285905634548
13,0,75,10,1,11.573701068841181,79.07947756376952
17,0,75,3,1,27.225038528038315,81.00080189216354
15,0,75,10,1,23.15186261690336,92.5219081097667
9,1,75,10,1,11.490768115557762,78.97141222828225
7,0,75,3,1,24.103046579973714,91.79095783444095
19,1,75,3,1,20.659444850199176,85.40818290994478
21,1,75,10,1,18.160580285472665,79.1761079584477
6,0,75,10,0,25.275819766754218,91.83960280037024
16,1,75,10,1,26.14225546456637,94.18784146468958
22,0,75,3,0,15.436579119181069,75.2177316945273
7,1,75,3,1,24.208937314422997,92.43931458042118
2,0,75,10,1,23.992521041177184,85.09631766816582
8,0,75,3,0,21.386262679844243,81.41662217124582
16,0,75,3,0,29.70807512170299,78.6582998667695
14,0,75,3,0,15.447793211609483,74.26269444447914
5,0,75,3,1,15.756411697842445,80.0490705612363
18,1,75,10,1,28.496520500312933,94.5952354123446
3,0,75,10,1,10.898654550503805,76.66083526468437
5,0,75,10,1,27.46753306782541,74.6449303877221
15,0,75,10,0,22.745534076675597,92.8798267299155
20,1,75,3,1,25.06614187659071,91.68272930149054
14,0,75,10,1,23.574610551724774,91.85051096009764
10,1,75,3,1,27.13867412259409,73.98796569346278
5,0,75,10,1,23.37631839115612,92.73857311104383
0,1,75,3,0,21.622152070127374,81.40696498121092
19,1,75,10,1,23.567607426948264,93.21895986612715
22,1,75,10,1,29.441284602514035,75.72698814537854
17,0,75,3,1,24.905400744893782,85.05170683530851
21,0,75,3,0,22.806492744014715,88.23661223405249
20,1,75,10,1,23.389322929928046,85.20238119499294
16,0,75,10,1,34.13571967241418,76.25852570690421
11,0,75,10,1,28.69947652983538,94.97983917503524
23,0,75,3,0,21.016302585775165,85.14774939896319
18,0,75,3,0,25.089832757357403,91.29381159372056
9,0,75,3,1,21.46816221819486,81.98801530873746
16,1,75,3,1,33.559631106817754,76.16449844776363
0,0,75,3,0,25.258487956492438,91.27019465210677
23,1,75,10,1,31.489251799587773,77.28803473969093
21,0,75,3,1,16.31256123300727,79.41433955819232
23,0,75,10,1,23.20400076327253,88.16558945670215
13,0,75,3,0,24.026532288800574,85.27721969432733
21,1,75,3,1,31.027339217634797,76.58446273000271
23,1,75,10,1,33.42948126318558,76.84176784736893
12,0,75,3,1,18.55324843677669,78.84708135265997
9,0,75,3,0,23.159585686759662,78.95004650057608
11,0,75,3,0,23.045957212586753,92.67956261947245
14,1,75,3,0,11.036799770872342,75.9130223523486
1,1,75,3,1,27.060634531762098,88.68404631104869
4,0,75,3,1,27.07407538088738,74.007346768372
22,0,75,10,1,31.06813236613603,75.72272737617138
22,0,75,3,0,31.022958209360844,76.72962768614633
22,1,75,3,1,34.115510896819906,77.02897125073892
6,0,75,10,1,28.783760245421558,75.97531503009643
15,0,75,3,1,25.76010594233414,94.42951965387542
1,0,75,3,0,24.25217133968163,93.86694118738839
10,0,75,10,1,27.910684635721758,88.02808267663961
12,0,75,3,1,25.149506236745612,94.08296762356917
22,0,75,10,0,24.468585562900834,93.4466805681249
17,1,75,10,1,23.4697089227274,91.71261350762394
3,1,75,10,0,29.520178356626616,76.22154603353596
15,0,75,3,0,31.058229615580473,77.20972395796754
9,0,75,10,1,12.319005496188291,80.11514751658737
9,0,75,3,0,15.057202428686821,76.12625964675992
14,0,75,3,1,25.89257347425209,92.26707672262701
21,0,75,3,0,15.46284166811008,75.31633763461733
20,0,75,3,1,31.291479174599875,77.23392328998031
14,0,75,10,1,28.274108980131228,77.51831701254903
20,0,75,10,0,29.28121941906616,75.73605283339963
8,0,75,3,1,33.90300052928067,76.73552437086256
21,0,75,10,1,23.525687359955594,91.91107200105297
0,0,75,10,1,23.485744302627953,92.79627352127787
19,0,75,3,0,29.34225540231715,75.64788058476094
9,0,75,3,1,33.60716461409959,76.62772333017638
10,0,75,3,1,10.861135206356753,76.64485910325202
2,0,75,10,0,23.70745406673555,85.76988823550765
17,1,75,10,0,33.688379122943864,76.47807001746526
14,0,75,3,0,33.33394600695275,76.27816780116781
18,0,75,10,0,26.10422896594906,94.0639504123992
10,0,75,10,0,33.51597526901056,76.70740106419335
12,0,75,3,1,26.956486587127777,74.65810493691365
3,0,75,3,1,10.71590436447209,76.68157256841862
4,0,75,3,1,24.026014775395492,85.09170776176673
20,0,75,3,0,31.151765032076895,75.07061943873212
14,0,75,3,0,26.368071648152622,81.37895480489186
20,0,75,10,0,27.683270183365625,88.38189770044289
1,0,75,3,1,31.17452230307725,75.48482080705001
13,0,75,3,1,20.169590557506933,75.78190349672083
9,0,75,10,0,26.38279219480466,92.78550907509958
7,0,75,10,1,33.4217904800884,76.81536096620682
9,0,75,3,1,27.42131836426536,88.64652643941976
5,0,75,3,1,26.382642905966385,80.50779007841915
21,0,75,3,1,23.38599554931896,93.36925154229729
3,0,75,3,1,21.064519634426127,82.01855906040117
18,1,75,3,1,24.489405004672268,93.82509287710091
21,0,75,10,0,15.712966962522582,73.74656298714515
13,0,75,10,0,27.901679806140667,88.21801015770166
17,0,75,10,1,23.675346317287104,85.69041747445118
19,0,75,10,1,24.73208941406238,85.61032748521293
0,0,75,3,0,21.036014278074525,81.37217532225684
4,1,75,10,0,29.85294206030448,79.38727642905472
20,0,75,3,1,25.868336829638995,91.23171849131808
2,0,75,3,1,19.36188029479763,75.30735507550037
8,0,75,10,1,10.735626044381895,76.18412526945154
22,0,75,3,0,11.337326014074808,76.34203564018796
14,0,75,3,1,26.313646910834738,92.55924729698377
5,1,75,10,1,16.29316959199886,79.82051434620226
15,0,75,3,1,20.158087194212253,75.6561629434256
21,0,75,10,0,22.0813302963229,71.02968832320185
17,0,75,3,0,28.43920262945599,94.31963621384737
4,0,75,3,1,23.340972752156105,92.54371017667277
4,0,75,3,0,22.09407260616772,71.38527471592478
2,0,75,10,0,25.260597791126038,91.7720530271799
18,0,75,3,1,23.148006051308087,87.95714654337992
8,1,75,10,1,30.18164477574083,78.91555209986723
11,1,75,3,1,22.240228866155608,71.62927356557974
1,1,75,3,0,26.472473858422397,92.12861587046797
3,0,75,3,1,30.303259857412343,76.88659594938835
19,0,75,3,1,21.388986985295855,85.23311505965484
21,1,75,3,1,17.72170242411337,79.31736964301271
16,0,75,3,1,25.896131087711662,92.89102364351771
0,1,75,10,0,31.188133456297557,77.27513379678567
23,0,75,3,0,12.303393441506504,80.06939406802282
1,0,75,10,1,26.81239049453574,74.53048176647624
20,0,75,3,1,26.791929086455564,81.0337531600021
8,0,75,10,0,16.101342285790075,80.12918315552942
13,0,75,3,1,19.474227057782898,75.22419063277994
12,0,75,3,1,27.06381368196501,81.22070233487334
21,1,75,10,0,25.923416220923077,91.61804320242896
22,0,75,3,1,30.93264397909003,77.23578298357364
15,1,75,3,1,11.518263617127749,80.12479755522871
0,0,75,3,0,15.098276307437214,74.40290575355937
20,0,75,3,1,27.542187913566828,88.6197618699115
9,1,75,10,1,31.500647694723448,76.78206359263692
11,1,75,3,1,23.075101391090517,87.8035703354548
17,0,75,10,1,21.796903861606918,70.71503419137417
11,0,75,3,1,10.873004164651459,78.55689997464464
18,0,75,3,1,34.004473972248704,76.3688141671542
7,0,75,10,0,27.804460257885978,88.82662343834693
0,0,75,3,1,18.21304827560777,78.88457460504144
5,0,75,3,0,20.80312246888766,85.24255049305874
1,0,75,3,1,31.164805102804127,76.37679177901403
4,0,75,3,1,23.631801884898856,85.27307693797789
4,0,75,3,1,20.7577355836734,84.72443440501058
1,0,75,3,1,31.3796436422105,75.16737241959123
2,0,75,10,1,10.77929138817603,78.9505362094911
